,@flowId,@jitterSum,@txBytes,@rxBytes,@txPackets,@rxPackets,@lostPackets
0,1,+0ns,280,0,5,0,5
1,2,+0ns,280,0,5,0,5
2,3,+0ns,280,0,5,0,5
3,4,+0ns,280,0,5,0,5
4,5,+0ns,280,0,5,0,5
5,6,+0ns,280,0,5,0,5
6,7,+0ns,280,0,5,0,5
7,8,+0ns,280,0,5,0,5
8,9,+0ns,280,0,5,0,5
9,10,+0ns,280,0,5,0,5
10,11,+0ns,280,0,5,0,5
11,12,+0ns,280,0,5,0,5
12,13,+0ns,280,0,5,0,5
13,14,+0ns,280,0,5,0,5
14,15,+0ns,280,0,5,0,5
15,16,+0ns,280,0,5,0,5
16,17,+0ns,280,0,5,0,5
17,18,+0ns,280,0,5,0,5
18,19,+0ns,280,0,5,0,5
19,20,+0ns,280,0,5,0,5
20,21,+5.91184e+10ns,400790772,400749624,262988,262961,4
21,22,+0ns,280,0,5,0,5
22,23,+0ns,280,0,5,0,5
23,24,+0ns,280,0,5,0,5
24,25,+0ns,280,0,5,0,5
25,26,+1.00417e+11ns,6847864,6847656,131651,131647,0
