1.1,45.2198, Mbit/s
1.2,55.936, Mbit/s
1.3,50.6368, Mbit/s
1.4,44.0422, Mbit/s
1.5,52.8742, Mbit/s
1.6,47.6928, Mbit/s
1.7,51.8144, Mbit/s
1.8,55.5827, Mbit/s
1.9,56.5248, Mbit/s
2,50.6368, Mbit/s
2.1,47.9283, Mbit/s
2.2,51.9322, Mbit/s
2.3,53.1098, Mbit/s
2.4,52.7565, Mbit/s
2.5,46.8685, Mbit/s
2.6,48.6349, Mbit/s
2.7,50.6368, Mbit/s
2.8,48.8704, Mbit/s
2.9,52.2854, Mbit/s
3,49.9302, Mbit/s
3.1,50.2835, Mbit/s
3.2,51.4611, Mbit/s
3.3,42.5114, Mbit/s
3.4,50.9901, Mbit/s
3.5,56.1715, Mbit/s
3.6,46.8685, Mbit/s
3.7,47.3395, Mbit/s
3.8,48.0461, Mbit/s
3.9,49.577, Mbit/s
4,56.1715, Mbit/s
4.1,46.0442, Mbit/s
4.2,56.1715, Mbit/s
4.3,54.9939, Mbit/s
4.4,53.1098, Mbit/s
4.5,51.1078, Mbit/s
4.6,56.1715, Mbit/s
4.7,55.8182, Mbit/s
4.8,50.2835, Mbit/s
4.9,52.4032, Mbit/s
5,50.1658, Mbit/s
5.1,48.2816, Mbit/s
5.2,56.8781, Mbit/s
5.3,52.521, Mbit/s
5.4,56.2893, Mbit/s
5.5,52.4032, Mbit/s
5.6,55.936, Mbit/s
5.7,56.1715, Mbit/s
5.8,52.1677, Mbit/s
5.9,55.8182, Mbit/s
6,52.8742, Mbit/s
6.1,51.6966, Mbit/s
6.2,47.575, Mbit/s
6.3,52.7565, Mbit/s
6.4,56.1715, Mbit/s
6.5,43.8067, Mbit/s
6.6,56.407, Mbit/s
6.7,52.7565, Mbit/s
6.8,44.0422, Mbit/s
6.9,48.0461, Mbit/s
7,54.8762, Mbit/s
7.1,44.8666, Mbit/s
7.2,55.8182, Mbit/s
7.3,52.1677, Mbit/s
7.4,56.0538, Mbit/s
7.5,55.936, Mbit/s
7.6,49.577, Mbit/s
7.7,56.1715, Mbit/s
7.8,56.2893, Mbit/s
7.9,51.9322, Mbit/s
8,53.6986, Mbit/s
8.1,50.7546, Mbit/s
8.2,54.6406, Mbit/s
8.3,48.9882, Mbit/s
8.4,51.6966, Mbit/s
8.5,52.0499, Mbit/s
8.6,56.407, Mbit/s
8.7,48.3994, Mbit/s
8.8,49.1059, Mbit/s
8.9,56.2893, Mbit/s
9,43.5712, Mbit/s
9.1,51.8144, Mbit/s
9.2,56.0538, Mbit/s
9.3,56.2893, Mbit/s
9.4,51.9322, Mbit/s
9.5,50.7546, Mbit/s
9.6,49.1059, Mbit/s
9.7,47.4573, Mbit/s
9.8,48.2816, Mbit/s
9.9,51.9322, Mbit/s
10,44.8666, Mbit/s
10.1,52.2854, Mbit/s
10.2,43.2179, Mbit/s
10.3,55.7005, Mbit/s
10.4,52.1677, Mbit/s
10.5,52.8742, Mbit/s
10.6,45.4554, Mbit/s
10.7,52.6387, Mbit/s
10.8,56.0538, Mbit/s
10.9,50.4013, Mbit/s
11,50.9901, Mbit/s
